wiêkszoœæ absolutna ; ** ; AD  ; 21 ;
dziadek do orzechów ; *--; AC ; ; 
komputer osobisty ; ** ; AC ; ;
dom dziecka ; AC ** ; AC ; ; 
z domu ; F ; ; 		# z domu Potocka
z polska ; F ; ;	# nosi³ siê z polska
po polsku ; F ; ;	
na ty ;-- ; F ; ;
per ty ; --;  F ; ; 
zbiæ z panta³yku ; *-- ; B ; ;
adres pocztowy ; ** ; AC ; ;
adres zwrotny ; ** ; AC ; ; 
adwokat diab³a ; *- ; AA ; ;  
agencja prasowa ; ** ; AD ; ; 
agencja reklamowa ; ** ; AD ; ; 
agencja towarzyska ; ** ; AD ; ;  
$ dom  publiczny ; ** ; AC ;  ; 
$ dom  rozpusty ; *- ; AC ;  ; 
$ burdel ; AC			 # powi¹zanie z jednosegmentowym ? (wulg.), RAPORT, gdy brak w CLP, zostanie dogenerowany
$ zamtuz ; AC			 #? powi¹zanie z jednosegmentowym ?(arch.)
agent ubezpieczeniowy ; ** ; AA ;  ; 
akademicka dyskusja ; ** ; AD ; ; 
kwadrans akademicki ; ** ; AC ; 21 ;
# aksamitny g³os ; ** ; AC ; ;  nie WS bo mo¿liwa substytucja szorstki g³os, cichy g³os itd
akt *ACAAAAA mi³osierdzia ; *- ; AC ; ;
akt *ACAAAAA odwagi ; *- ; AC ; ; 
akt *ACAAAAA pokory  ; *- ; AC ; ;
akt *ACAAAAA pokuty  ; *- ; AC ; ;
akt *ACAAAAA rozpaczy ; *- ; AC ; ;
akt *ACAAAAA skruchy ; *- ; AC ; ;
akt *ACAAAAA urodzenia ; *- ; AC ;  ; 
akt *ACAAAAA woli ; *- ; AC ; ; 
akt *ACAAAAA zgonu ; *- ; AC ;  ; 
aktor charakterystyczny ; ** ; AA ;  ;
aktorka charakterystyczna ; ** ; AD ; ; 
aktor komiczny ; ** ; AA ;  ;
aktorka komiczna ; ** ; AD ; ; 
akwen wodny ; ** ; AC ; ;
alarm bojowy ; ** ; AC ;  ; 
alarm powodziowy ; ** ; AC ;  ; 
album rodzinny ; ** ; AC ;  ; 
alfa i omega ; *-* ; AD ;  ; 
alfabet arabski ; ** ; AC ; 21 ;
alfabet grecki ; ** ; AC ; 21 ;
alfabet hebrajski ; ** ; AC ; 21 ; 
alfabet ³aciñski ; ** ; AC ; 21 ;
amant filmowy ; ** ; AA ; ;
amator kwaœnych jab³ek *AGDAA ; *-- ; AA ;  ; 
amerykañskie tempo ; ** ; AE ;  ; 
aneks kuchenny ; ** ; AC ; ;
angielska flegma ; ** ; AD ;  ; 
anielska cierpliwoœæ ; ** ; AD ;  ;  
anielska dobroæ ; ** ; AD ;  ; 
anielska postaæ ; ** ; AD ; ;
anielska rozkosz ; ** ; AD ;  ; 
anielski spokój ; ** ; AC ;  ; 
anio³ *AAACAAB pokoju ; *- ; AA ;  ; 
anio³ *AAACAAB stró¿ ; ** ; AA ;  ; 
anio³ *AAACAAB œmierci ; *- ; AA ;  ; 
anio³ *AAACAAB nie cz³owiek ; --- ; AA ;  ; #czm &w 
anio³ *AAACAAB nie kobieta ; --- ; AD ;  ; #czm &w
aparat badawczy ; ** ; AC ;  ; 
aparat fotograficzny ; ** ; AC ;  ;
aparat telefoniczny ; ** ; AC ;  ;
aparat tlenowy ; ** ; AC ; ;  
aparat w³adzy ; *- ; AC ;  ;
apokaliptyczna wizja ; ** ; AD ;  ; #wsg? + &
arena polityczna ; ** ; AD ; 21 ; 
areszt domowy ; ** ; AC ;  ; 
argument si³y ; *- ; AC ;  ;
& argument si³owy ; ** ; AC ; 21;  
arkusz kalkulacyjny ; ** ; AC ;  ; 
arteria  komunikacyjna ; ** ; AD ;  ; 
arteria  wodna ; ** ; AD ; ; 
artyku³y gospodarstwa domowego ; *-- ; AC ; AGD ; 
artysta dramatyczny ; ** ; AA ;  ; 
artystka dramatyczna ; ** ; AD ;  ; 
artystyczna dusza ; ** ; AD ; 21 ;  
artystyczny  nie³ad ; ** ; AC ; 21 ; 
as *AAACAAAB kontrwywiadu ; *- ; AA ;  ; 
as *AAACAAAB wywiadu ; *- ; AA ;  ; 
astronomiczna  cena ; ** ; AD ;  ; 
astronomiczna  suma *ADAAA ; ** ; AD ;  ; #wariant? 
atak frontalny ; ** ; AC ; 21 ; 
atlas geograficzny ; ** ; AC ;  ; 
atmosfera  ziemska ; ** ; AD ; 21 ; 
